Bigram,Pointwise Coefficient,"(x,y)",(x),(y)
"('chrismartin', 'allyouneedislove')",23.05772723,1,1,1
"('newyorkgpg', 'taipeigpg')",23.05772723,1,1,1
"('chancehelton', 'dokesnick')",23.05772723,1,1,1
"('telltaleshel', 'telltaledoug')",23.05772723,1,1,1
"('frandz', 'bayview')",23.05772723,1,1,1
"('bizlere', 'yasakmi')",23.05772723,1,1,1
"('meliwdella', 'livishe')",23.05772723,1,1,1
"('yuleidys', 'suleidys')",23.05772723,1,1,1
"('awenpras', 'zuhriyash')",23.05772723,1,1,1
"('kightwding', 'ingightkdw')",23.05772723,1,1,1
"('sandraanggi', 'arnintarahma')",23.05772723,1,1,1
"('ehsica', 'hoaaaaamm')",23.05772723,1,1,1
"('nurda', 'jejename')",23.05772723,1,1,1
"('modded', 'gamertags')",23.05772723,1,1,1
"('stinge', 'bruuuuuu')",23.05772723,1,1,1
"('errrthangregula', 'whatwolfie')",23.05772723,1,1,1
"('kuw', 'kuwait')",23.05772723,1,1,1
"('alantheprince', 'naic')",23.05772723,1,1,1
"('menyayat', 'hatiq')",23.05772723,1,1,1
"('panyagapan', 'danaka')",23.05772723,1,1,1
"('alggm', 'dfmre')",23.05772723,1,1,1
"('bengithi', 'imina')",23.05772723,1,1,1
"('virginiemarinea', 'raphaaaaaaaaael')",23.05772723,1,1,1
"('dumpydoctor', 'itshotashal')",23.05772723,1,1,1
"('choipatao', 'bzzfrog')",23.05772723,1,1,1
"('thelover', 'margueriteduras')",23.05772723,1,1,1
"('anicahercules', 'serfre')",23.05772723,1,1,1
"(""pvr'd"", 'nbclastcomic')",23.05772723,1,1,1
"('ibjub', 'favlarin')",23.05772723,1,1,1
"('kidfreshzandy', 'iamsynapse')",23.05772723,1,1,1
"('americma', 'rlg')",23.05772723,1,1,1
"('durumdayim', 'nefesler')",23.05772723,1,1,1
"('milkmanner', 'reprinted')",23.05772723,1,1,1
"('daima', 'sevmisimdir')",23.05772723,1,1,1
