ID,Class
344,neptune
345,smurf
346,neptune
347,smurf
348,normal
349,smurf
350,normal
351,smurf
352,normal
353,smurf
354,normal
355,smurf
356,smurf
357,normal
358,smurf
359,normal
360,normal
361,normal
362,smurf
363,smurf
364,smurf
365,normal
366,neptune
367,neptune
368,neptune
369,normal
370,neptune
371,normal
372,normal
373,normal
374,smurf
375,normal
376,smurf
377,neptune
378,smurf
379,normal
380,smurf
381,smurf
382,normal
383,neptune
384,neptune
385,smurf
386,smurf
387,normal
388,neptune
389,smurf
390,normal
391,normal
392,smurf
393,smurf
394,normal
395,smurf
396,normal
397,neptune
398,neptune
399,neptune
400,smurf
401,normal
402,smurf
403,normal
404,normal
405,normal
406,neptune
407,smurf
408,neptune
409,smurf
410,smurf
411,smurf
412,normal
413,smurf
414,normal
415,normal
416,normal
417,normal
418,satan
419,normal
420,smurf
421,smurf
422,normal
423,normal
424,smurf
425,smurf
426,smurf
427,smurf
428,smurf
429,neptune
430,neptune
431,normal
432,smurf
433,normal
434,smurf
435,normal
436,smurf
437,normal
438,smurf
439,neptune
440,smurf
441,smurf
442,smurf
443,normal
444,neptune
445,normal
446,normal
447,smurf
448,neptune
449,normal
450,smurf
451,smurf
452,neptune
453,normal
454,smurf
455,neptune
456,neptune
457,normal
458,normal
459,smurf
460,neptune
461,neptune
462,neptune
463,normal
464,normal
465,smurf
466,smurf
467,smurf
468,smurf
469,smurf
470,smurf
471,smurf
472,smurf
473,normal
474,normal
475,smurf
476,neptune
477,neptune
478,smurf
479,smurf
480,normal
481,normal
482,normal
483,smurf
484,normal
485,normal
486,neptune
487,normal
488,normal
489,smurf
490,normal
491,normal
492,normal
493,neptune
494,smurf
495,neptune
496,normal
497,smurf
498,smurf
499,normal
500,normal
501,smurf
502,neptune
503,normal
504,smurf
505,smurf
506,smurf
507,normal
508,smurf
509,smurf
510,neptune
511,normal
512,normal
513,normal
514,normal
515,normal
516,normal
517,smurf
518,normal
519,normal
520,neptune
521,smurf
522,smurf
523,normal
524,normal
525,smurf
526,smurf
527,neptune
528,smurf
529,smurf
530,neptune
531,smurf
532,neptune
533,smurf
534,neptune
535,smurf
536,smurf
537,neptune
538,normal
539,normal
540,smurf
541,smurf
542,normal
543,smurf
544,normal
545,smurf
546,normal
547,normal
548,smurf
549,normal
550,neptune
551,neptune
552,neptune
553,smurf
554,neptune
555,neptune
556,neptune
557,smurf
558,normal
559,neptune
560,smurf
561,normal
562,smurf
563,smurf
564,smurf
565,smurf
566,normal
567,normal
568,smurf
569,neptune
570,neptune
571,normal
572,neptune
573,normal
574,normal
575,smurf
576,smurf
577,smurf
578,smurf
579,neptune
580,smurf
581,smurf
582,normal
583,neptune
584,neptune
585,neptune
586,normal
587,neptune
588,smurf
589,neptune
590,neptune
591,smurf
592,normal
593,normal
594,neptune
595,smurf
596,smurf
597,normal
598,smurf
599,normal
600,normal
601,smurf
602,normal
603,neptune
604,smurf
605,neptune
606,neptune
607,normal
608,normal
609,smurf
610,smurf
611,smurf
612,neptune
613,smurf
614,smurf
615,normal
616,neptune
617,normal
618,neptune
619,normal
620,neptune
621,smurf
622,neptune
623,smurf
624,smurf
625,normal
626,normal
627,normal
628,smurf
629,normal
630,normal
631,smurf
632,smurf
633,normal
634,neptune
635,smurf
636,smurf
637,normal
638,smurf
639,smurf
640,normal
641,normal
642,smurf
643,neptune
644,neptune
645,neptune
646,normal
647,normal
648,neptune
649,smurf
650,smurf
651,normal
652,neptune
653,normal
654,normal
655,normal
656,normal
657,normal
658,neptune
659,normal
660,smurf
661,smurf
662,normal
663,neptune
664,normal
665,neptune
666,normal
667,smurf
668,smurf
669,neptune
670,smurf
671,neptune
672,neptune
673,normal
674,smurf
675,smurf
676,smurf
677,neptune
678,normal
679,smurf
680,normal
681,neptune
682,neptune
683,normal
684,normal
685,smurf
686,normal
687,normal
688,smurf
689,normal
690,smurf
691,normal
692,neptune
693,smurf
694,normal
695,normal
696,smurf
697,normal
698,smurf
699,neptune
700,normal
701,normal
702,normal
703,normal
704,normal
705,normal
706,normal
707,smurf
708,normal
709,normal
710,normal
711,smurf
712,smurf
713,normal
714,neptune
715,normal
716,normal
717,neptune
718,smurf
719,neptune
720,neptune
721,normal
722,neptune
723,neptune
724,smurf
725,smurf
726,smurf
727,neptune
728,normal
729,neptune
730,normal
731,normal
732,normal
733,smurf
734,normal
735,normal
736,smurf
737,normal
738,normal
739,smurf
740,smurf
741,neptune
742,neptune
743,smurf
744,satan
745,smurf
746,normal
747,normal
748,smurf
749,smurf
750,neptune
751,neptune
752,neptune
753,normal
754,smurf
755,neptune
756,smurf
757,normal
758,normal
759,neptune
760,smurf
761,normal
762,normal
763,normal
764,smurf
765,smurf
766,normal
767,smurf
768,smurf
769,smurf
770,normal
771,smurf
772,smurf
773,smurf
774,smurf
775,smurf
776,smurf
777,normal
778,smurf
779,neptune
780,smurf
781,normal
782,smurf
783,neptune
784,smurf
785,smurf
786,normal
787,neptune
788,neptune
789,smurf
790,neptune
791,satan
792,normal
793,smurf
794,smurf
795,neptune
796,normal
797,normal
798,neptune
799,normal
800,normal
801,smurf
802,smurf
803,normal
804,smurf
805,normal
806,smurf
807,normal
808,normal
809,smurf
810,neptune
811,neptune
812,neptune
813,neptune
814,smurf
815,neptune
816,normal
817,normal
818,smurf
819,smurf
820,normal
821,normal
822,smurf
823,smurf
824,smurf
825,smurf
826,neptune
827,neptune
828,normal
829,smurf
830,smurf
831,smurf
832,normal
833,smurf
834,normal
835,smurf
836,neptune
837,smurf
838,normal
839,neptune
840,smurf
841,smurf
842,smurf
843,neptune
844,smurf
845,neptune
846,smurf
847,neptune
848,neptune
849,normal
850,normal
851,normal
852,normal
853,smurf
854,normal
855,normal
856,smurf
857,smurf
858,smurf
859,neptune
860,normal
861,normal
862,smurf
863,smurf
864,neptune
865,normal
866,smurf
867,normal
868,smurf
869,neptune
870,normal
871,neptune
872,neptune
873,normal
874,neptune
875,neptune
876,neptune
877,normal
878,normal
879,neptune
880,normal
881,smurf
882,normal
883,normal
884,neptune
885,neptune
886,neptune
887,smurf
888,normal
889,smurf
890,normal
891,normal
892,smurf
893,neptune
894,smurf
895,normal
896,smurf
897,normal
898,normal
899,smurf
900,smurf
901,smurf
902,normal
903,normal
904,neptune
905,normal
906,smurf
907,normal
908,normal
909,normal
910,smurf
911,smurf
912,neptune
913,smurf
914,normal
915,smurf
916,smurf
917,smurf
918,neptune
919,normal
920,normal
921,neptune
922,smurf
923,smurf
924,neptune
925,normal
926,neptune
927,smurf
928,neptune
929,smurf
930,smurf
931,neptune
932,smurf
933,smurf
934,smurf
935,smurf
936,smurf
937,normal
938,normal
939,normal
940,neptune
941,normal
942,smurf
943,normal
944,neptune
945,normal
946,smurf
947,smurf
948,normal
949,smurf
950,normal
951,normal
952,neptune
953,smurf
954,normal
955,normal
956,portsweep
957,smurf
958,smurf
959,smurf
960,smurf
961,smurf
962,neptune
963,neptune
964,normal
965,neptune
966,neptune
967,neptune
968,neptune
969,smurf
970,normal
971,neptune
972,normal
973,normal
974,smurf
975,neptune
976,neptune
977,normal
978,smurf
979,neptune
980,smurf
981,normal
982,smurf
983,smurf
984,neptune
985,normal
986,neptune
987,normal
988,normal
989,smurf
990,smurf
991,neptune
992,normal
993,normal
994,smurf
995,normal
996,smurf
997,normal
998,smurf
999,smurf
1000,smurf
1001,normal
1002,smurf
1003,smurf
1004,neptune
1005,normal
1006,normal
1007,smurf
1008,neptune
1009,neptune
1010,neptune
1011,neptune
1012,neptune
1013,neptune
1014,normal
1015,normal
1016,normal
1017,smurf
1018,neptune
1019,normal
1020,normal
1021,neptune
1022,normal
1023,smurf
1024,normal
1025,normal
1026,neptune
1027,smurf
1028,smurf
1029,normal
1030,satan
1031,normal
1032,neptune
1033,neptune
1034,neptune
1035,smurf
1036,neptune
1037,normal
1038,neptune
1039,normal
1040,neptune
1041,neptune
1042,neptune
1043,normal
1044,normal
1045,normal
1046,normal
1047,smurf
1048,smurf
1049,smurf
1050,smurf
1051,normal
1052,back
1053,normal
1054,normal
1055,normal
1056,smurf
1057,normal
1058,normal
1059,smurf
1060,smurf
1061,normal
1062,normal
1063,neptune
1064,smurf
1065,neptune
1066,neptune
1067,normal
1068,normal
1069,smurf
1070,normal
1071,smurf
1072,smurf
1073,smurf
1074,normal
1075,smurf
1076,smurf
1077,neptune
1078,neptune
1079,normal
1080,neptune
1081,neptune
1082,smurf
1083,neptune
1084,normal
1085,smurf
1086,neptune
1087,normal
1088,normal
1089,normal
1090,neptune
1091,normal
1092,smurf
1093,normal
1094,smurf
1095,normal
1096,normal
1097,normal
1098,smurf
1099,normal
1100,smurf
1101,normal
1102,smurf
1103,normal
1104,neptune
1105,normal
1106,normal
1107,neptune
1108,smurf
1109,normal
1110,neptune
1111,normal
1112,smurf
1113,normal
1114,normal
1115,neptune
1116,normal
1117,normal
1118,neptune
1119,normal
1120,neptune
1121,normal
1122,neptune
1123,smurf
1124,smurf
1125,smurf
1126,smurf
1127,smurf
1128,neptune
1129,smurf
1130,normal
1131,smurf
1132,normal
1133,normal
1134,smurf
1135,normal
1136,satan
1137,normal
1138,satan
1139,normal
1140,neptune
1141,normal
1142,smurf
1143,neptune
1144,normal
1145,smurf
1146,smurf
1147,neptune
1148,smurf
1149,normal
1150,normal
1151,smurf
1152,smurf
1153,neptune
1154,smurf
1155,normal
1156,satan
1157,smurf
1158,normal
1159,neptune
1160,smurf
1161,smurf
1162,normal
1163,smurf
1164,neptune
1165,smurf
1166,smurf
1167,smurf
1168,neptune
1169,neptune
1170,normal
1171,normal
1172,smurf
1173,normal
1174,neptune
1175,smurf
1176,normal
1177,normal
1178,smurf
1179,normal
1180,smurf
1181,normal
1182,normal
1183,smurf
1184,neptune
1185,neptune
1186,neptune
1187,neptune
1188,normal
1189,smurf
1190,normal
1191,neptune
1192,neptune
1193,normal
1194,normal
1195,neptune
1196,normal
1197,normal
1198,normal
1199,neptune
1200,normal
1201,neptune
1202,normal
1203,neptune
1204,smurf
1205,normal
1206,smurf
1207,smurf
1208,smurf
1209,neptune
1210,neptune
1211,smurf
1212,normal
1213,smurf
1214,neptune
1215,neptune
1216,smurf
1217,normal
1218,neptune
1219,normal
1220,normal
1221,neptune
1222,normal
1223,neptune
1224,neptune
1225,neptune
1226,normal
1227,smurf
1228,neptune
1229,smurf
1230,normal
1231,normal
1232,smurf
1233,normal
1234,smurf
1235,smurf
1236,neptune
1237,normal
1238,smurf
1239,smurf
1240,smurf
1241,smurf
1242,smurf
1243,normal
1244,normal
1245,smurf
1246,neptune
1247,neptune
1248,smurf
1249,normal
1250,smurf
1251,neptune
1252,smurf
1253,smurf
1254,smurf
1255,smurf
1256,smurf
1257,normal
1258,smurf
1259,normal
1260,normal
1261,normal
1262,normal
1263,smurf
1264,neptune
1265,neptune
1266,normal
1267,normal
1268,neptune
1269,normal
1270,neptune
1271,normal
1272,smurf
1273,smurf
1274,neptune
1275,normal
1276,smurf
1277,smurf
1278,normal
1279,smurf
1280,smurf
1281,smurf
1282,neptune
1283,smurf
1284,normal
1285,normal
1286,smurf
1287,smurf
1288,neptune
1289,smurf
1290,normal
1291,smurf
1292,normal
1293,normal
1294,neptune
1295,smurf
1296,normal
1297,normal
1298,normal
1299,smurf
1300,normal
1301,smurf
1302,normal
1303,normal
1304,normal
1305,neptune
1306,smurf
1307,normal
1308,normal
1309,neptune
1310,normal
1311,smurf
1312,smurf
1313,smurf
1314,normal
1315,neptune
1316,smurf
1317,normal
1318,smurf
1319,smurf
1320,normal
1321,normal
1322,smurf
1323,normal
1324,normal
1325,smurf
1326,normal
1327,normal
1328,normal
1329,normal
1330,smurf
1331,neptune
1332,neptune
1333,normal
1334,smurf
1335,normal
1336,smurf
1337,smurf
1338,normal
1339,normal
1340,normal
1341,smurf
1342,normal
1343,smurf
1344,smurf
1345,normal
1346,neptune
1347,normal
1348,smurf
1349,normal
1350,normal
1351,neptune
1352,smurf
1353,normal
1354,smurf
1355,smurf
1356,neptune
1357,normal
1358,neptune
1359,portsweep
1360,normal
1361,smurf
1362,normal
1363,neptune
1364,satan
1365,normal
1366,smurf
1367,neptune
1368,neptune
1369,satan
1370,normal
1371,normal
1372,normal
1373,normal
1374,smurf
1375,normal
1376,smurf
1377,normal
1378,neptune
1379,neptune
1380,smurf
1381,smurf
1382,neptune
1383,normal
1384,normal
1385,neptune
1386,neptune
1387,neptune
1388,smurf
1389,smurf
1390,normal
1391,normal
1392,back
1393,smurf
1394,normal
1395,normal
1396,normal
1397,normal
1398,smurf
1399,normal
1400,smurf
1401,normal
1402,smurf
1403,smurf
1404,smurf
1405,normal
1406,smurf
1407,neptune
1408,smurf
1409,neptune
1410,smurf
1411,smurf
1412,normal
1413,smurf
1414,normal
1415,normal
1416,normal
1417,smurf
1418,neptune
1419,normal
1420,smurf
1421,normal
1422,smurf
1423,smurf
1424,neptune
1425,normal
1426,neptune
1427,smurf
1428,neptune
1429,smurf
1430,neptune
1431,neptune
1432,normal
1433,normal
1434,normal
1435,neptune
1436,normal
1437,normal
1438,normal
1439,ipsweep
1440,normal
1441,normal
1442,normal
1443,normal
1444,smurf
1445,smurf
1446,neptune
1447,normal
1448,smurf
1449,normal
1450,normal
1451,neptune
1452,neptune
1453,normal
1454,neptune
1455,normal
1456,normal
1457,normal
1458,satan
1459,neptune
1460,smurf
1461,smurf
1462,normal
1463,smurf
1464,normal
1465,smurf
1466,normal
1467,neptune
1468,smurf
1469,smurf
1470,neptune
1471,neptune
1472,normal
1473,smurf
1474,normal
1475,neptune
1476,normal
1477,neptune
1478,smurf
1479,smurf
1480,normal
1481,smurf
1482,normal
1483,neptune
1484,normal
1485,neptune
1486,smurf
1487,smurf
1488,smurf
1489,normal
1490,normal
1491,smurf
1492,smurf
1493,normal
1494,normal
1495,normal
1496,smurf
1497,normal
1498,normal
1499,normal
1500,smurf
1501,normal
1502,smurf
1503,neptune
1504,smurf
1505,smurf
1506,normal
1507,smurf
1508,normal
1509,normal
1510,normal
1511,smurf
1512,smurf
1513,smurf
1514,neptune
1515,normal
1516,smurf
1517,normal
1518,neptune
1519,normal
1520,smurf
1521,neptune
1522,normal
1523,normal
1524,neptune
1525,neptune
1526,smurf
1527,normal
1528,smurf
1529,smurf
1530,smurf
1531,neptune
1532,neptune
1533,smurf
1534,neptune
1535,normal
1536,smurf
1537,neptune
1538,smurf
1539,normal
1540,normal
1541,smurf
1542,smurf
1543,normal
1544,normal
1545,normal
1546,smurf
1547,smurf
1548,smurf
1549,smurf
1550,normal
1551,smurf
1552,normal
1553,smurf
1554,normal
1555,smurf
1556,normal
1557,smurf
1558,normal
1559,normal
1560,smurf
1561,smurf
1562,smurf
1563,neptune
1564,smurf
1565,neptune
1566,normal
1567,neptune
1568,smurf
1569,smurf
1570,neptune
1571,neptune
1572,normal
1573,normal
1574,normal
1575,normal
1576,normal
1577,normal
1578,neptune
1579,neptune
1580,smurf
1581,smurf
1582,normal
1583,smurf
1584,neptune
1585,smurf
1586,smurf
1587,neptune
1588,normal
1589,smurf
1590,satan
1591,normal
1592,smurf
1593,smurf
1594,neptune
1595,neptune
1596,smurf
1597,normal
1598,smurf
1599,neptune
1600,normal
1601,normal
1602,normal
1603,neptune
1604,smurf
1605,smurf
1606,normal
1607,neptune
1608,neptune
1609,normal
1610,normal
1611,normal
1612,smurf
1613,smurf
1614,normal
1615,neptune
1616,smurf
1617,smurf
1618,normal
1619,neptune
1620,normal
1621,normal
1622,smurf
1623,normal
1624,neptune
1625,neptune
1626,neptune
1627,neptune
1628,satan
1629,smurf
1630,smurf
1631,smurf
1632,smurf
1633,neptune
1634,smurf
1635,normal
1636,neptune
1637,normal
1638,normal
1639,normal
1640,normal
1641,normal
1642,normal
1643,normal
1644,normal
1645,smurf
1646,neptune
1647,normal
1648,normal
1649,normal
1650,satan
1651,smurf
1652,smurf
1653,neptune
1654,smurf
1655,smurf
1656,normal
1657,smurf
1658,normal
1659,normal
1660,normal
1661,normal
1662,normal
1663,smurf
1664,normal
1665,normal
1666,smurf
1667,normal
1668,normal
1669,smurf
1670,normal
1671,normal
1672,normal
1673,neptune
1674,smurf
1675,smurf
1676,neptune
1677,smurf
1678,normal
1679,normal
1680,neptune
1681,neptune
1682,neptune
1683,smurf
1684,smurf
1685,normal
1686,smurf
1687,normal
1688,normal
1689,normal
1690,neptune
1691,smurf
1692,smurf
1693,smurf
1694,smurf
1695,neptune
1696,smurf
1697,neptune
1698,normal
1699,normal
1700,normal
1701,neptune
1702,smurf
1703,neptune
1704,smurf
1705,normal
1706,smurf
1707,normal
1708,smurf
1709,normal
1710,smurf
1711,smurf
1712,smurf
1713,normal
1714,smurf
1715,neptune
1716,neptune
1717,smurf
1718,normal
1719,smurf
1720,smurf
1721,normal
1722,smurf
1723,normal
1724,smurf
1725,smurf
1726,normal
1727,normal
1728,normal
1729,normal
1730,neptune
1731,smurf
1732,neptune
1733,smurf
1734,smurf
1735,neptune
1736,normal
1737,normal
1738,neptune
1739,smurf
1740,smurf
1741,normal
1742,normal
1743,normal
1744,smurf
1745,neptune
1746,smurf
1747,neptune
1748,normal
1749,normal
1750,normal
1751,smurf
1752,smurf
1753,smurf
1754,smurf
1755,neptune
1756,normal
1757,neptune
1758,smurf
1759,normal
1760,smurf
1761,smurf
1762,normal
1763,normal
1764,normal
1765,smurf
1766,normal
1767,smurf
1768,smurf
1769,normal
1770,smurf
1771,neptune
1772,normal
1773,smurf
1774,smurf
1775,normal
1776,normal
1777,normal
1778,normal
1779,smurf
1780,smurf
1781,smurf
1782,normal
1783,neptune
1784,normal
1785,neptune
1786,normal
1787,normal
1788,smurf
1789,smurf
1790,normal
1791,neptune
1792,smurf
1793,smurf
1794,normal
1795,smurf
1796,smurf
1797,normal
1798,normal
1799,normal
1800,normal
1801,normal
1802,neptune
1803,neptune
1804,normal
1805,neptune
1806,smurf
1807,normal
1808,normal
1809,smurf
1810,normal
1811,smurf
1812,normal
1813,normal
1814,normal
1815,smurf
1816,neptune
1817,normal
1818,normal
1819,normal
1820,smurf
1821,neptune
1822,neptune
1823,neptune
1824,neptune
1825,smurf
1826,smurf
1827,smurf
1828,smurf
1829,smurf
1830,normal
1831,smurf
1832,smurf
1833,normal
1834,neptune
1835,smurf
1836,smurf
1837,smurf
1838,smurf
1839,normal
1840,smurf
1841,smurf
1842,smurf
1843,normal
1844,smurf
1845,neptune
1846,satan
1847,normal
1848,smurf
1849,smurf
1850,normal
1851,neptune
1852,smurf
1853,smurf
1854,smurf
1855,smurf
1856,smurf
1857,smurf
1858,normal
1859,smurf
1860,neptune
1861,smurf
1862,smurf
1863,smurf
1864,neptune
1865,smurf
1866,normal
1867,smurf
1868,smurf
1869,neptune
1870,normal
1871,neptune
1872,neptune
1873,normal
1874,smurf
1875,normal
1876,smurf
1877,normal
1878,smurf
1879,normal
1880,smurf
1881,smurf
1882,smurf
1883,neptune
1884,normal
1885,normal
1886,smurf
1887,smurf
1888,normal
1889,normal
1890,normal
1891,smurf
1892,neptune
1893,smurf
1894,neptune
1895,normal
1896,normal
1897,smurf
1898,smurf
1899,neptune
1900,neptune
1901,neptune
1902,normal
1903,neptune
1904,normal
1905,smurf
1906,smurf
1907,normal
1908,smurf
1909,normal
1910,smurf
1911,smurf
1912,neptune
1913,neptune
1914,smurf
1915,neptune
1916,normal
1917,normal
1918,normal
1919,neptune
1920,normal
1921,neptune
1922,normal
1923,normal
1924,neptune
1925,smurf
1926,smurf
1927,smurf
1928,smurf
1929,normal
1930,smurf
1931,neptune
1932,normal
1933,neptune
1934,smurf
1935,neptune
1936,normal
1937,normal
1938,normal
1939,normal
1940,normal
1941,smurf
1942,smurf
1943,smurf
1944,smurf
1945,smurf
1946,smurf
1947,normal
1948,neptune
1949,smurf
1950,smurf
1951,back
1952,normal
1953,smurf
1954,normal
1955,normal
1956,neptune
1957,neptune
1958,normal
1959,smurf
1960,smurf
1961,smurf
1962,smurf
1963,smurf
1964,normal
1965,smurf
1966,neptune
1967,smurf
1968,normal
1969,smurf
1970,smurf
1971,neptune
1972,smurf
1973,smurf
1974,normal
1975,normal
1976,smurf
1977,neptune
1978,smurf
1979,smurf
1980,smurf
1981,normal
1982,normal
1983,smurf
1984,smurf
1985,normal
1986,neptune
1987,normal
1988,neptune
1989,normal
1990,smurf
1991,smurf
1992,normal
1993,normal
1994,neptune
1995,neptune
1996,normal
1997,normal
1998,smurf
1999,normal
2000,normal
2001,smurf
2002,smurf
2003,normal
2004,normal
2005,normal
2006,smurf
2007,smurf
2008,neptune
2009,neptune
2010,neptune
2011,normal
2012,normal
2013,smurf
2014,neptune
2015,smurf
2016,smurf
2017,neptune
2018,normal
2019,smurf
2020,normal
2021,neptune
2022,neptune
2023,smurf
2024,normal
2025,smurf
2026,neptune
2027,neptune
2028,neptune
2029,normal
2030,normal
2031,normal
2032,smurf
2033,normal
2034,normal
2035,normal
2036,normal
2037,normal
2038,smurf
2039,neptune
2040,normal
2041,normal
2042,smurf
2043,normal
2044,smurf
2045,normal
2046,normal
2047,smurf
2048,normal
2049,normal
2050,normal
2051,neptune
2052,smurf
2053,normal
2054,smurf
2055,smurf
2056,smurf
2057,normal
2058,neptune
2059,smurf
2060,normal
2061,neptune
2062,smurf
2063,neptune
2064,normal
2065,normal
2066,normal
2067,smurf
2068,normal
2069,smurf
2070,normal
2071,smurf
2072,normal
2073,normal
2074,smurf
2075,neptune
2076,normal
2077,normal
2078,normal
2079,normal
2080,neptune
2081,normal
2082,neptune
2083,normal
2084,smurf
2085,normal
2086,smurf
2087,normal
2088,normal
2089,normal
2090,normal
2091,normal
2092,normal
2093,neptune
2094,smurf
2095,normal
2096,smurf
2097,neptune
2098,neptune
2099,smurf
2100,normal
2101,normal
2102,neptune
2103,normal
2104,smurf
2105,smurf
2106,neptune
2107,normal
2108,normal
2109,normal
2110,smurf
2111,normal
2112,satan
2113,normal
2114,ipsweep
2115,normal
2116,smurf
2117,normal
2118,smurf
2119,smurf
2120,smurf
2121,smurf
2122,normal
2123,normal
2124,satan
2125,neptune
2126,normal
2127,smurf
2128,neptune
2129,smurf
2130,normal
2131,smurf
2132,normal
2133,normal
2134,smurf
2135,neptune
2136,smurf
2137,smurf
2138,neptune
2139,normal
2140,normal
2141,smurf
2142,smurf
2143,neptune
2144,neptune
2145,smurf
2146,normal
2147,normal
2148,smurf
2149,smurf
2150,normal
2151,neptune
2152,smurf
2153,neptune
2154,smurf
2155,smurf
2156,normal
2157,smurf
2158,normal
2159,smurf
2160,smurf
2161,normal
2162,normal
2163,smurf
2164,normal
2165,smurf
2166,smurf
2167,normal
2168,smurf
2169,normal
2170,normal
2171,normal
2172,normal
2173,neptune
2174,portsweep
2175,neptune
2176,neptune
2177,neptune
2178,normal
2179,smurf
2180,neptune
2181,normal
2182,normal
2183,normal
2184,smurf
2185,normal
2186,normal
2187,normal
2188,neptune
2189,neptune
2190,normal
2191,normal
2192,smurf
2193,smurf
2194,smurf
2195,normal
2196,normal
2197,smurf
2198,smurf
2199,smurf
2200,neptune
2201,smurf
2202,smurf
2203,smurf
2204,normal
2205,smurf
2206,smurf
2207,neptune
2208,neptune
2209,normal
2210,neptune
2211,smurf
2212,neptune
2213,neptune
2214,neptune
2215,neptune
2216,normal
2217,smurf
2218,normal
2219,normal
2220,smurf
2221,normal
2222,normal
2223,normal
2224,neptune
2225,smurf
2226,normal
2227,neptune
2228,neptune
2229,smurf
2230,neptune
2231,smurf
2232,smurf
2233,normal
2234,neptune
2235,normal
2236,normal
2237,smurf
2238,smurf
2239,smurf
2240,smurf
2241,normal
2242,smurf
2243,smurf
2244,neptune
2245,smurf
2246,normal
2247,neptune
2248,neptune
2249,neptune
2250,normal
2251,normal
2252,smurf
2253,smurf
2254,smurf
2255,neptune
2256,smurf
2257,normal
2258,neptune
2259,normal
2260,neptune
2261,smurf
2262,normal
2263,smurf
2264,smurf
2265,normal
2266,smurf
2267,smurf
2268,neptune
2269,smurf
